DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
15426.2,72,0.0
13260.4,72,0.0
9910.6,72,0.0
9877.2,71,0.0
9855.0,71,0.0
12440.0,71,0.0
14765.8,71,0.0
18330.0,71,0.0
18527.0,71,0.0
18641.6,71,0.0
18211.8,70,0.0
18452.8,70,0.0
18099.0,70,0.0
14405.6,70,0.0
10634.8,70,0.0
8777.4,70,0.0
9500.8,118,0.0
13402.6,142,0.0
17251.8,167,0.0
19580.6,191,0.0
33164.0,215,0.0
49777.6,239,0.0
75518.8,264,0.0
72450.4,288,0.0
69396.4,312,0.0
52771.6,336,0.0
32517.4,361,0.0
3894.4,368,0.0
4052.4,372,0.0
3872.2,352,0.0
3589.2,331,0.0
4298.4,311,0.0
4671.8,290,0.0
5173.2,270,0.0
6054.4,249,0.0
7151.0,229,0.0
6635.2,208,0.0
6045.2,188,0.0
5290.0,164,0.0
4571.0,115,0.0
5253.8,111,0.0
6889.2,108,0.0
7912.8,104,0.0
9259.0,100,0.0
9038.8,96,0.0
7473.8,92,0.0
4956.2,89,0.0
3209.4,85,0.0
1090.6,81,0.0
5769.4,71,0.0
5860.6,72,0.0
6385.2,72,0.0
7201.8,73,0.0
5737.8,73,0.0
9981.2,74,0.0
14004.6,74,0.0
19662.8,75,0.0
17200.8,76,0.0
12761.4,76,0.0
9814.8,77,0.0
4577.0,76,0.0
5938.2,76,0.0
7517.2,76,0.0
7645.6,75,0.0
7328.4,75,0.0
6057.0,74,0.0
4818.4,74,0.0
4709.0,74,0.0
3575.0,73,0.0
2385.8,73,0.0
3218.4,72,0.0
4416.0,71,0.0
5796.6,71,0.0
7830.8,71,0.0
8986.4,71,0.0
12777.2,71,0.0
17446.4,71,0.0
23000.8,71,0.0
27146.8,71,0.0
30520.6,71,0.0
29204.8,71,0.0
22992.6,71,0.0
10840.6,71,0.0
6714.8,71,0.0
4610.6,71,0.0
6350.4,72,0.0
7928.6,72,0.0
7975.0,72,0.0
7665.0,73,0.0
7001.8,73,0.0
6382.8,73,0.0
6350.2,74,0.0
6233.8,74,0.0
4875.2,74,0.0
3711.6,75,0.0
3990.4,75,0.0
5893.4,77,0.0
8495.8,77,0.0
12318.6,78,0.0
13109.2,79,0.0
13204.2,79,0.0
12666.0,80,0.0
11514.2,80,0.0
8210.6,81,0.0
6574.0,82,0.0
4377.8,82,0.0
2594.2,83,0.0
2767.8,82,0.0
3022.0,81,0.0
3126.6,80,0.0
2963.0,79,0.0
1791.4,78,0.0
4793.6,77,0.0
8351.0,76,0.0
10773.4,75,0.0
10120.6,74,0.0
9790.8,73,0.0
10145.0,72,0.0
11596.2,71,2.7
15321.0,71,4.0
16587.6,72,5.3
13935.4,72,6.7
11222.0,73,8.0
8988.8,73,9.3
5948.8,74,10.7
5482.0,74,12.0
4519.2,75,13.3
3227.6,75,14.7
990.8,76,17.3
1412.4,77,25.3
2668.4,76,28.0
3029.0,76,30.7
3029.0,76,33.3
2023.8,75,36.0
2216.8,72,54.7
10440.6,71,52.0
13187.6,70,48.0
13963.8,70,44.0
12508.0,70,40.0
8430.4,69,36.0
7983.4,69,32.0
19836.2,68,28.0
56196.8,68,24.0
70929.4,68,20.0
70169.4,67,16.0
67231.4,67,12.0
60226.4,66,8.0
40816.4,66,4.0
46726.6,66,0.0
69800.0,66,0.0
88060.8,66,0.0
99558.2,66,0.0
101625.8,66,0.0
100772.4,66,0.0
99125.2,66,0.0
82160.8,66,0.0
64365.4,66,0.0
45387.2,66,0.0
37007.6,66,0.0
45593.8,66,0.0
76836.8,66,0.0
106001.4,66,0.0
136021.0,66,0.0
153521.0,66,0.0
153439.8,66,0.0
151913.2,66,0.0
153068.8,66,0.0
151085.4,66,0.0
121415.2,66,0.0
91483.6,66,0.0
62674.8,66,0.0
13336.6,66,0.0
19306.2,66,0.0
24503.4,66,0.0
28100.8,66,0.0
28665.8,66,0.0
28762.8,66,0.0
28842.4,66,0.0
29529.4,66,0.0
30385.2,66,0.0
24434.4,66,0.0
18592.4,66,0.0
17456.6,66,0.0
16817.4,67,0.0
23201.8,67,0.0
29719.8,67,0.0
31108.8,67,0.0
31574.2,67,0.0
32094.8,67,0.0
31986.8,67,0.0
26493.8,67,0.0
21216.6,67,0.0
15151.4,67,0.0
13398.0,67,0.0
16889.0,68,0.0
21400.2,68,0.0
26620.4,68,0.0
46951.0,68,0.0
73106.0,68,0.0
99210.0,68,0.0
120579.4,68,0.0
143168.4,68,0.0
119905.2,68,0.0
90433.8,68,0.0
60022.2,68,0.0
36887.4,68,0.0
14921.8,69,0.0
16799.0,69,0.0
19659.2,69,0.0
19987.6,70,0.0
19896.6,70,0.0
19458.4,70,0.0
19353.2,71,0.0
17825.2,71,0.0
13726.2,71,0.0
9970.4,72,0.0
10277.0,72,0.0
12978.2,72,0.0
40702.4,72,0.0
71165.4,71,0.0
102303.4,71,0.0
113475.0,71,0.0
125415.2,70,0.0
121877.0,70,0.0
92857.4,69,0.0
75134.8,69,0.0
78707.0,69,0.0
60222.8,68,0.0
33607.0,68,0.0
46638.6,67,0.0
51672.2,67,0.0
112403.6,67,0.0
126126.4,67,0.0
142098.2,67,0.0
132731.8,67,0.0
115648.4,68,0.0
109697.8,68,0.0
111007.6,68,0.0
97654.4,68,0.0
84301.2,68,0.0
63116.6,68,0.0
9580.0,68,0.0
36393.0,67,0.0
56994.2,67,0.0
76946.4,67,0.0
97402.4,66,0.0
113670.2,66,0.0
112182.0,66,0.0
91933.8,66,0.0
72334.6,65,0.0
49883.4,65,0.0
34637.2,65,0.0
17415.6,65,0.0
18519.2,65,0.0
19843.0,65,0.0
24098.8,65,0.0
28330.0,65,0.0
72827.6,65,0.0
126150.2,65,0.0
161302.8,65,0.0
194763.8,65,0.0
224454.4,65,0.0
176166.8,65,0.0
118834.0,65,0.0
46262.8,66,0.0
12055.8,66,0.0
14859.8,66,0.0
28633.6,66,0.0
49952.6,66,0.0
68506.4,66,0.0
116149.0,66,0.0
166389.6,66,0.0
198805.0,66,0.0
188292.2,66,0.0
211620.6,66,0.0
159700.2,66,0.0
105829.2,66,0.0
60936.8,66,0.0
53093.6,66,0.0
16724.0,66,0.0
24702.6,66,0.0
25322.0,66,0.0
25239.0,66,0.0
25017.8,66,0.0
24842.6,66,0.0
25114.6,66,0.0
25035.0,66,0.0
24084.2,66,0.0
18991.0,66,0.0
12722.4,66,0.0
69352.4,66,0.0
207686.4,70,0.0
273185.2,72,0.0
334754.8,74,0.0
327537.6,76,0.0
313708.4,78,0.0
177601.2,82,0.0
119289.0,84,0.0
75061.8,86,0.0
35294.0,88,0.0
33812.4,90,0.0
31914.6,92,0.0
15190.6,94,0.0
20280.2,93,0.0
24512.6,92,0.0
27333.8,91,0.0
26449.4,90,0.0
22973.4,89,0.0
16191.6,88,0.0
9479.6,85,0.0
10849.4,84,0.0
9498.0,83,0.0
9692.4,82,0.0
9460.4,81,0.0
4048.8,79,0.0
5355.0,79,0.0
7941.0,80,0.0
9888.4,80,0.0
10447.2,81,0.0
11049.0,81,0.0
11301.2,81,0.0
10918.4,82,0.0
6836.0,82,0.0
4430.4,83,0.0
2436.4,83,0.0
1403.0,82,0.0
3368.8,80,0.0
4414.2,79,0.0
4697.8,78,0.0
4685.2,76,0.0
3471.2,75,0.0
4011.4,74,0.0
3010.4,73,0.0
2726.8,72,0.0
2210.4,70,0.0
2042.0,69,0.0
4242.2,68,0.0
8017.0,68,0.0
8942.4,67,0.0
9769.4,68,0.0
10501.8,69,0.0
8808.0,70,0.0
7853.0,70,0.0
10275.4,71,0.0
12521.4,72,0.0
14259.8,73,0.0
15980.0,74,0.0
13115.8,74,0.0
7228.0,76,0.0
5603.6,76,0.0
3722.6,76,0.0
4882.4,75,0.0
5168.8,74,0.0
16410.4,74,0.0
33541.2,73,0.0
50076.8,72,0.0
67834.2,71,0.0
86152.0,70,0.0
92512.6,70,0.0
73933.4,69,0.0
55657.0,68,0.0
39519.8,67,0.0
47623.8,66,0.0
61937.0,66,0.0
92249.2,66,0.0
122764.0,66,0.0
151282.4,66,0.0
152112.4,66,0.0
147731.2,66,0.0
149348.2,66,0.0
151360.8,66,0.0
139779.6,66,0.0
112241.8,66,0.0
84175.0,66,0.0
56418.0,66,0.0
28935.6,66,0.0
14857.2,66,0.0
20962.6,66,0.0
26898.8,66,0.0
28711.4,66,0.0
29424.2,66,0.0
30168.2,66,0.0
29632.6,67,0.0
29156.2,67,0.0
24224.0,67,0.0
19518.8,67,0.0
13352.0,67,0.0
42173.0,68,0.0
71670.4,68,0.0
103825.8,68,0.0
140074.2,68,0.0
166743.0,68,0.0
167810.8,68,0.0
168082.8,69,0.0
167317.4,69,0.0
160509.4,69,0.0
129159.0,69,0.0
101353.0,69,0.0
71852.6,69,0.0
19058.0,69,0.0
19475.4,69,0.0
19717.0,68,0.0
22909.4,68,0.0
22845.6,68,0.0
22663.6,68,0.0
22515.6,67,0.0
21652.0,67,0.0
17138.0,67,0.0
12558.8,67,0.0
10817.2,66,0.0
13648.4,66,0.0
19325.8,66,0.0
25160.2,66,0.0
28253.4,66,0.0
