DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
50.0,70,43.3
1651.4,68,43.3
4259.0,68,36.7
7357.2,68,33.3
9535.8,68,30.0
10222.6,68,26.7
11547.0,68,23.3
13473.8,68,20.0
12647.4,68,16.7
10469.0,68,13.3
8131.6,68,10.0
7163.6,69,6.7
6580.8,69,0.0
9036.0,69,0.0
11986.4,70,0.0
12375.2,70,0.0
11775.0,70,0.0
11767.2,70,0.0
11583.2,70,0.0
9286.8,71,0.0
6750.6,71,0.0
4743.4,71,0.0
6271.8,71,0.0
7172.4,71,0.0
10075.2,71,0.0
12971.8,70,0.0
14807.8,70,0.0
13530.6,70,0.0
13473.0,70,0.0
13113.6,69,0.0
13717.8,69,0.0
12122.2,69,0.0
10295.4,69,0.0
7972.0,68,0.0
7651.8,68,0.0
6209.2,68,0.0
7828.0,68,0.0
9827.8,68,0.0
10497.4,68,0.0
9670.2,68,0.0
9576.0,68,0.0
9680.8,68,0.0
9627.2,68,0.0
11710.0,68,0.0
12795.2,68,0.0
10830.6,68,0.0
7370.8,68,0.0
8515.8,68,0.0
11365.0,68,0.0
13665.4,68,0.0
14694.6,68,0.0
14746.8,68,0.0
14572.0,68,0.0
15395.4,68,0.0
15698.0,68,0.0
15262.4,68,0.0
13101.8,68,0.0
9543.8,68,0.0
5871.4,68,0.0
5152.0,68,0.0
9072.0,68,0.0
12148.6,68,0.0
14475.8,68,0.0
13322.0,68,0.0
11832.4,68,0.0
10775.0,68,0.0
10942.8,68,0.0
9793.4,68,0.0
9399.4,68,0.0
8623.0,68,0.0
6610.6,68,0.0
4279.8,68,0.0
7907.4,68,0.0
9192.4,68,0.0
12708.2,68,0.0
13962.4,68,0.0
14081.6,68,0.0
14790.8,68,0.0
15543.6,68,0.0
16565.0,68,0.0
15558.4,68,0.0
12002.6,68,0.0
9958.0,68,0.0
8734.8,68,0.0
9137.2,68,0.0
12425.0,69,0.0
15712.8,69,0.0
16080.4,69,0.0
15024.4,70,0.0
13971.4,70,0.0
10721.2,70,0.0
8592.8,71,0.0
8101.2,71,0.0
8019.8,71,0.0
5642.8,72,0.0
5605.4,72,0.0
7361.8,72,0.0
7820.8,72,0.0
11232.4,71,0.0
14381.2,71,0.0
12908.6,71,0.0
10457.0,71,0.0
12180.0,70,0.0
10570.4,70,0.0
10202.6,70,0.0
9834.8,69,0.0
7103.2,69,0.0
4697.0,69,0.0
9897.6,69,0.0
10628.2,69,0.0
13282.2,69,0.0
12196.8,69,0.0
11187.2,69,0.0
10641.0,69,0.0
12479.0,69,0.0
12740.6,69,0.0
11553.2,69,0.0
9543.4,69,0.0
6899.8,69,0.0
4321.2,70,0.0
7113.6,69,0.0
8795.0,69,0.0
10582.2,69,0.0
10221.0,69,0.0
10463.2,69,0.0
10906.2,69,0.0
12495.8,69,0.0
11648.2,69,0.0
10015.6,69,0.0
7745.2,69,0.0
4991.4,69,0.0
5020.6,69,0.0
7067.4,69,0.0
9257.4,69,0.0
11038.2,69,0.0
10338.0,69,0.0
10103.2,69,0.0
9548.4,69,0.0
9226.6,69,0.0
8869.2,69,0.0
7235.4,69,0.0
5329.6,69,0.0
5008.6,69,0.0
6869.6,70,0.0
9137.8,70,0.0
11017.6,70,0.0
11182.4,71,0.0
9919.8,71,0.0
7943.6,71,0.0
6766.2,72,0.0
6225.4,72,0.0
4747.8,72,0.0
3774.2,72,0.0
2456.2,73,0.0
2164.4,73,0.0
2554.6,72,0.0
2660.8,72,0.0
2099.8,72,0.0
1341.6,71,0.0
774.6,71,0.0
1326.0,70,0.0
1695.4,70,0.0
2220.4,69,0.0
2221.6,69,0.0
1860.6,68,0.0
1891.6,83,4.0
1903.8,99,8.0
1920.2,115,12.0
1201.6,131,16.0
628.2,147,20.0
50.0,179,28.0
50.0,195,32.0
50.0,243,44.0
50.0,259,48.0
50.0,275,52.0
50.0,275,52.0
50.0,259,48.0
173.2,243,44.0
345.8,227,40.0
671.8,211,36.0
771.0,180,28.0
666.6,164,24.0
498.2,148,20.0
172.4,132,16.0
93.4,116,12.0
2674.2,100,8.0
5943.8,69,0.0
8366.2,69,0.0
10515.8,69,0.0
11098.6,69,0.0
12537.4,69,0.0
13033.4,69,0.0
12565.8,69,0.0
8758.4,69,0.0
5575.4,69,0.0
6769.0,69,0.0
9728.4,69,0.0
11264.2,69,0.0
12292.6,69,0.0
11819.6,69,0.0
11987.4,69,0.0
12246.6,69,0.0
11429.0,69,0.0
9447.2,69,0.0
6267.6,69,0.0
4918.6,69,0.0
5427.0,69,0.0
8662.6,69,0.0
10926.4,69,0.0
12712.8,69,0.0
12520.8,69,0.0
11859.8,69,0.0
11237.6,69,0.0
9896.0,69,0.0
9812.0,69,0.0
10160.4,69,0.0
12054.0,69,0.0
10035.4,69,0.0
8016.8,69,0.0
6851.8,69,0.0
8542.0,70,0.0
12721.0,69,0.0
16518.0,69,0.0
18438.8,69,0.0
18178.0,69,0.0
18321.6,69,0.0
18427.8,69,0.0
18302.0,69,0.0
18519.4,69,0.0
18419.4,69,0.0
14748.4,69,0.0
11077.4,69,0.0
9060.2,69,0.0
9031.0,69,0.0
13711.4,68,0.0
17495.4,68,0.0
19533.8,68,0.0
19352.6,67,0.0
19189.4,67,0.0
19332.8,67,0.0
19142.0,67,0.0
18358.6,67,0.0
17640.6,66,0.0
13855.6,66,0.0
9097.8,66,0.0
11875.2,66,0.0
16553.2,66,0.0
20634.4,67,0.0
21633.4,67,0.0
21304.8,67,0.0
21023.2,67,0.0
20449.6,68,0.0
19079.2,68,0.0
15330.2,68,0.0
11311.6,69,0.0
7456.0,69,0.0
747.2,69,0.0
3742.4,69,0.0
7113.4,69,0.0
9507.2,69,0.0
13134.6,69,0.0
16926.0,69,0.0
17537.8,68,0.0
17773.8,68,0.0
18871.8,68,0.0
12713.2,68,0.0
9316.0,68,0.0
8953.4,68,0.0
8748.8,68,0.0
11624.8,68,0.0
14205.6,68,0.0
17501.4,69,0.0
17762.6,69,0.0
17732.4,69,0.0
17721.2,69,0.0
18202.6,69,0.0
18093.0,70,0.0
14338.4,70,0.0
10832.4,70,0.0
8162.0,70,0.0
7682.6,74,0.0
7250.6,78,0.0
10460.8,82,0.0
16332.0,90,0.0
17004.8,93,0.0
17521.4,97,0.0
18236.6,101,0.0
16541.2,105,0.0
14519.2,109,0.0
10633.4,112,0.0
6903.8,116,0.0
6335.0,120,0.0
7211.2,124,0.0
9328.0,121,0.0
11780.0,117,0.0
10558.2,114,0.0
11015.8,107,0.0
10699.0,103,0.0
8981.8,100,0.0
7581.8,96,0.0
6137.8,93,0.0
4378.2,89,0.0
1844.2,82,0.0
2142.4,79,0.0
3158.6,77,0.0
3871.8,78,0.0
4585.0,79,0.0
3996.0,80,0.0
3370.4,81,0.0
2729.8,82,0.0
2297.2,83,0.0
1599.0,84,0.0
2728.4,85,0.0
3761.4,86,0.0
5016.6,87,0.0
5356.8,88,0.0
2520.2,87,0.0
2741.4,86,0.0
4553.2,86,0.0
5669.0,85,0.0
7275.0,84,0.0
9092.4,83,0.0
9195.2,82,0.0
8728.0,82,0.0
7337.6,81,0.0
5556.6,80,0.0
3620.0,79,0.0
1730.6,79,0.0
3602.2,80,0.0
4634.2,81,0.0
5750.8,82,0.0
5754.8,83,0.0
6086.4,83,0.0
6223.2,84,0.0
6247.4,85,0.0
5513.4,86,0.0
4435.2,86,0.0
3005.4,87,0.0
2518.8,89,0.0
2949.0,89,0.0
4347.8,89,0.0
5534.8,89,0.0
6658.2,89,0.0
6831.6,89,0.0
5889.2,89,0.0
5767.8,89,0.0
5214.0,89,0.0
5179.2,89,0.0
5390.6,89,0.0
5703.6,89,0.0
6359.6,89,0.0
6659.2,89,0.0
7160.6,89,0.0
7244.6,89,0.0
7374.2,89,0.0
6876.8,89,0.0
6819.0,89,0.0
6527.8,89,0.0
7127.2,89,0.0
8129.0,89,0.0
7304.0,89,0.0
6641.4,89,0.0
5053.0,89,0.0
4861.2,89,0.0
6058.4,88,0.0
7388.6,87,0.0
9073.6,86,0.0
9206.6,85,0.0
8852.8,84,0.0
7421.8,83,0.0
7157.8,82,0.0
7116.2,81,0.0
5943.2,80,0.0
5614.8,79,0.0
4271.4,77,0.0
4782.0,77,0.0
5714.6,78,0.0
7309.6,78,0.0
7474.0,78,0.0
7476.8,79,0.0
7490.0,79,0.0
7047.2,80,0.0
