DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
5022.2,67,0.0
6941.2,68,0.0
8777.0,68,0.0
10979.6,68,0.0
11121.6,69,0.0
11288.2,69,0.0
11560.4,69,0.0
12344.2,70,0.0
11427.4,70,0.0
9605.4,70,0.0
9132.4,71,0.0
9498.8,71,0.0
9698.2,71,0.0
10954.0,70,0.0
11797.2,70,0.0
11676.8,70,0.0
11429.2,70,0.0
11992.8,69,0.0
12804.2,69,0.0
13174.0,69,0.0
10654.2,69,0.0
8364.8,68,0.0
7812.0,68,0.0
13704.6,68,0.0
18064.2,68,0.0
23628.4,68,0.0
26626.4,68,0.0
24548.8,69,0.0
23421.8,69,0.0
18919.8,69,0.0
16832.6,69,0.0
14173.8,70,0.0
9666.0,70,0.0
5539.0,70,0.0
5249.2,70,0.0
3366.4,71,0.0
8461.4,71,0.0
9359.2,71,0.0
10955.8,71,0.0
12451.8,71,0.0
14195.4,72,0.0
13864.8,72,0.0
14533.6,72,0.0
15179.0,72,0.0
8739.6,72,0.0
7866.2,72,0.0
6157.4,73,13.3
7431.0,73,20.0
8985.6,73,26.7
6734.2,73,40.0
6230.2,73,46.7
5027.2,73,53.3
3534.0,73,60.0
1694.2,73,66.7
1732.0,73,73.3
555.0,74,86.7
329.6,74,93.3
50.0,74,86.7
50.0,75,80.0
50.0,75,73.3
50.0,75,66.7
50.0,75,53.3
50.0,76,46.7
50.0,76,40.0
67.4,76,26.7
63.8,76,13.3
63.8,76,6.7
11469.8,76,0.0
12813.2,76,0.0
15010.8,77,0.0
11803.8,77,0.0
7586.0,77,0.0
4759.4,77,0.0
3417.8,77,0.0
1268.4,78,0.0
1165.6,78,0.0
2192.4,78,0.0
3219.2,78,0.0
3503.0,78,0.0
4730.8,77,0.0
5759.0,76,0.0
6392.2,75,0.0
6763.2,75,0.0
6636.8,74,0.0
6460.6,73,0.0
4830.0,73,0.0
3333.2,72,0.0
2841.6,71,0.0
1692.2,71,0.0
528.6,70,0.0
1038.4,73,0.0
1308.2,74,0.0
1469.6,75,0.0
1481.4,77,0.0
1537.6,78,0.0
1234.8,79,0.0
1165.6,81,0.0
1151.2,82,0.0
1072.6,83,0.0
998.6,85,0.0
812.0,86,0.0
638.2,89,0.0
425.4,87,0.0
329.0,86,0.0
337.2,85,0.0
1190.2,84,0.0
2584.4,83,0.0
4088.0,82,0.0
5576.0,81,0.0
7216.2,80,0.0
8060.4,78,0.0
6514.8,77,0.0
4969.2,76,0.0
4880.4,75,0.0
5017.6,74,0.0
7185.4,74,0.0
11128.2,73,0.0
13785.2,73,0.0
16040.0,73,0.0
17192.2,73,0.0
17218.2,72,0.0
17076.0,72,0.0
18135.4,72,0.0
16924.6,72,0.0
16088.4,71,0.0
12901.2,71,0.0
12971.2,71,0.0
12969.6,70,0.0
13513.4,70,0.0
14090.4,70,0.0
17911.4,70,0.0
18132.4,70,0.0
17393.0,70,0.0
17276.0,70,0.0
17328.4,70,0.0
15181.2,70,0.0
11089.8,70,0.0
8114.6,70,0.0
6986.8,70,6.7
7130.6,70,20.0
7465.2,70,26.7
7960.6,70,33.3
6285.4,70,40.0
3521.4,70,46.7
1839.0,70,53.3
1870.8,71,60.0
1629.6,72,66.7
1633.8,72,73.3
1586.8,73,80.0
