DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
11262.4,82,0.0
10056.2,82,0.0
11665.0,82,0.0
11357.6,82,0.0
9349.0,82,0.0
6941.0,82,0.0
12202.0,82,0.0
19389.0,82,0.0
24824.0,82,0.0
29446.0,82,0.0
23956.6,82,0.0
18753.0,82,0.0
16438.6,82,0.0
14275.4,81,0.0
13223.2,81,0.0
14589.0,81,0.0
12670.4,81,0.0
10534.2,81,0.0
8792.8,81,0.0
4390.6,81,0.0
6369.0,81,0.0
9150.6,81,0.0
11105.6,81,0.0
12446.2,81,0.0
14685.4,81,0.0
15909.0,82,0.0
16329.4,82,0.0
16536.2,82,0.0
13640.0,82,0.0
7709.4,82,0.0
7779.2,82,0.0
12266.0,82,0.0
16193.2,82,0.0
18097.4,82,0.0
16829.8,82,0.0
15817.8,82,0.0
14006.4,81,0.0
12089.2,81,0.0
11383.2,81,0.0
9675.2,81,0.0
4608.8,81,0.0
5325.2,81,0.0
8620.2,81,0.0
11488.2,81,0.0
14360.2,81,0.0
15044.8,81,0.0
14854.6,81,0.0
15052.8,81,0.0
16696.2,81,0.0
18104.8,81,0.0
14693.0,81,0.0
11915.8,81,0.0
10174.6,81,0.0
6242.6,82,0.0
8275.8,82,0.0
10243.4,82,0.0
10872.2,82,0.0
9885.0,82,0.0
9394.8,82,0.0
7759.0,82,0.0
6188.8,82,0.0
4388.4,82,0.0
5864.4,82,0.0
8896.4,82,0.0
10522.0,82,0.0
12605.4,82,0.0
12143.4,82,0.0
11657.2,82,0.0
13028.4,83,0.0
11844.0,83,0.0
9551.2,83,0.0
6681.6,83,0.0
6188.4,83,0.0
5658.8,83,0.0
7338.4,83,0.0
10268.6,83,0.0
11949.2,83,0.0
10819.6,82,0.0
11898.6,82,0.0
12099.6,82,0.0
12617.6,82,0.0
14107.4,82,0.0
12807.6,81,0.0
10048.6,81,0.0
8362.0,81,0.0
6941.2,81,0.0
7281.0,81,0.0
9818.8,81,0.0
12761.2,81,0.0
14208.2,81,0.0
14521.2,81,0.0
12242.0,81,0.0
10679.0,81,0.0
9889.0,81,0.0
10713.6,81,0.0
