,segment_nr,bandwidth,bitrate,down_shifts,buffering_ratio,initial_buffering,stall_count,stall_sum,qoe
0,0,1984.569599271598,247444,0,0.0,0.6212618350982666,0,0,0.23946998496723093
1,1,329573.8838293139,247444,0,0.0,0.0,0,0,0.23946998496723093
2,2,423383.619647003,247444,0,0.0,0.0,0,0,0.23946998496723093
3,3,312192.4252233644,247444,0,0.0,0.0,0,0,0.23946998496723093
4,4,448292.6789707887,494206,0,0.0,0.0,0,0,0.22048254059738923
5,5,702922.440515941,1488453,0,0.0,0.0,0,0,0.15830279777209957
6,6,786056.5944510215,2258864,0,0.0,0.0,0,0,0.1315240391428766
7,7,763170.5644433793,2258864,0,0.0,0.0,0,0,0.14718582164501315
8,8,725463.4170544004,2971199,0,0.0,0.0,0,0,0.1530845002770378
9,9,887877.8961299622,6013501,0,0.0,0.0,0,0,0.048975274625805754
10,10,1043670.624121249,6013501,0,0.0,0.0,0,0,0.048262934776635014
11,11,930714.3649611997,10063789,0,0.0,0.0,0,0,0.0
12,12,1554426.6846032531,10063789,0,0.0,0.0,0,0,0.0
13,13,1767124.964157622,15144115,0,0.0,0.0,0,0,0.0
14,14,1468949.1519420843,10063789,1,0.0,0.0,0,0,0.0
15,15,1390792.9764762362,10063789,0,0.0,0.0,0,0,0.0
16,16,1418271.607590021,10063789,0,0.0,0.0,0,0,0.060175224546245465
17,17,1498480.8122726246,10063789,0,0.0,0.0,0,0,0.13538689032098117
18,18,1108048.199426471,10063789,0,0.0,0.0,0,0,0.20711638684462153
19,19,1190775.6098765829,10063789,0,0.0,0.0,0,0,0.2752767359429591
20,20,1357168.3280333579,15144115,0,0.0,0.0,0,0,0.3009114797555543
21,21,1425807.2081603233,15144115,0,0.0,0.0,0,0,0.3397437633787159
22,22,1416770.7288544986,15144115,0,0.0,0.0,0,0,0.38649378957152414
23,23,1382749.69848502,15144115,0,0.0,0.0,0,0,0.4379386043968836
24,24,1339284.0183392128,15144115,0,0.0,0.0,0,0,0.49202019850072976
25,25,1472979.4617664227,15144115,0,0.0,0.0,0,0,0.5473850451264903
26,26,1581307.4874440324,15144115,0,0.0,0.0,0,0,0.603126117429372
27,27,1194200.0564979664,6013501,2,0.0,0.0,0,0,0.6090251075682291
28,28,1191404.4033135665,10063789,0,0.0,0.0,0,0,0.6559680938106467
29,29,1181353.4003515178,10063789,0,0.0,0.0,0,0,0.7004257587189449
30,30,1108962.8809760115,10063789,0,0.0,0.0,0,0,0.7426046301835922
31,31,1337220.0418589157,15144115,0,0.0,0.0,0,0,0.7870291309923723
32,32,1465188.681468802,15144115,0,0.0,0.0,0,0,0.8313430706751392
33,33,1409916.0294209344,15144115,0,0.0,0.0,0,0,0.8752922324219086
34,34,1269408.5065406254,10063789,1,0.0,0.0,0,0,0.909078975631731
35,35,1396878.5813904293,15144115,0,0.0,0.0,0,0,0.95053842858841
36,36,1555078.4859363786,15144115,0,0.0,0.0,0,0,0.9914074661670662
37,37,1578222.96432186,10063789,1,0.0,0.0,0,0,1.0201521753891383
38,38,1462211.734008969,10063789,0,0.0,0.0,0,0,1.04773346212294
39,39,1386962.0261350828,10063789,0,0.0,0.0,0,0,1.0742268187817787
40,40,1495672.651402976,10063789,0,0.0,0.0,0,0,1.0997010969189291
41,41,1499969.0989280709,10063789,0,0.0,0.0,0,0,1.1242192368792634
42,42,1099363.1783681752,6013501,1,0.0,0.0,0,0,1.112903665625154
43,43,945573.0565872765,10063789,0,0.0,0.0,0,0,1.1362859115457924
44,44,1234031.5140969683,15144115,0,0.0,0.0,0,0,1.1667703840719676
45,45,1384561.2239272767,15144115,0,0.0,0.0,0,0,1.1969618835426008
46,46,1418980.212114402,15144115,0,0.0,0.0,0,0,1.2268074146934616
47,47,1281532.023853708,15144115,0,0.0,0.0,0,0,1.256266327302293
48,48,1332273.8970875137,15144115,0,0.0,0.0,0,0,1.2853078811959437
49,49,1397342.386174251,15144115,0,0.0,0.0,0,0,1.3139093183011885
50,50,1529862.7145413856,20195880,0,0.0,0.0,0,0,1.32196555470395
51,51,1363061.7843208693,6013501,3,0.0,0.0,0,0,1.3047358136813152
52,52,1239340.890593123,6013501,0,0.0,0.0,0,0,1.2885811078831333
53,53,1427408.3036185189,10063789,0,0.0,0.0,0,0,1.3043483510794889
54,54,1323612.239813472,10063789,0,0.0,0.0,0,0,1.319685601647412
55,55,1256233.9252970004,10063789,0,0.0,0.0,0,0,1.3346120715940644
56,56,1338216.1429722102,10063789,0,0.0,0.0,0,0,1.3491457916936171
57,57,1437504.7006283791,15144115,0,0.0,0.0,0,0,1.3734517954091234
58,58,1382630.2739098168,10063789,1,0.0,0.0,0,0,1.3869478509242374
59,59,1476898.7261238864,10063789,0,0.0,0.0,0,0,1.400110248452836
60,60,1504947.410574551,10063789,0,0.0,0.0,0,0,1.4129525496162623
61,61,1537342.7032597973,10063789,0,0.0,0.0,0,0,1.4254875555372524
62,62,1228866.6805848605,6013501,1,0.0,0.0,0,0,1.410265047674627
63,63,1345852.4227898743,10063789,0,0.0,0.0,0,0,1.4225827853831186
64,64,1483680.954851032,10063789,0,0.0,0.0,0,0,1.4346169290626687
65,65,1484253.4165431526,10063789,0,0.0,0.0,0,0,1.4463782087714139
66,66,1404927.622697823,10063789,0,0.0,0.0,0,0,1.4578767942985076
67,67,1317900.5128198029,10063789,0,0.0,0.0,0,0,1.4691223322400595
68,68,1340949.0175816144,10063789,0,0.0,0.0,0,0,1.4801239801188695
69,69,1488801.356527633,15144115,0,0.0,0.0,0,0,1.4983120590802768
70,70,1322941.9920544708,10063789,1,0.0,0.0,0,0,1.508650076682127
71,71,1433688.3838739097,15144115,0,0.0,0.0,0,0,1.5262698851755017
72,72,1308542.4115442766,10063789,1,0.0,0.0,0,0,1.5359924028879022
73,73,1428026.0105593365,15144115,0,0.0,0.0,0,0,1.5530712243376064
74,74,1578953.812723377,15144115,0,0.0,0.0,0,0,1.5700035167803783
75,75,1116337.9627430104,6013501,2,0.0,0.0,0,0,1.5547910915040561
76,76,1279819.7274997071,6013501,0,0.0,0.0,0,0,1.5402065573432782
77,77,1558060.925678597,10063789,0,0.0,0.0,0,0,1.5491850221750354
78,78,1171500.4549288524,6013501,1,0.0,0.0,0,0,1.5352759284874387
79,79,1150526.6938941479,10063789,0,0.0,0.0,0,0,1.5441674693538046
80,80,1278469.8962976167,10063789,0,0.0,0.0,0,0,1.552897124954696
81,81,1552451.6807602542,15144115,0,0.0,0.0,0,0,1.5678708005766695
82,82,1578709.5440071193,15144115,0,0.0,0.0,0,0,1.5827467315177457
83,83,1417044.087070091,10063789,1,0.0,0.0,0,0,1.5907170607119863
84,84,1528251.9588726938,15144115,0,0.0,0.0,0,0,1.6051985055227254
85,85,1497288.9997104402,10063789,1,0.0,0.0,0,0,1.6127511684717872
86,86,1028504.487693591,10063789,0,0.0,0.0,0,0,1.6201798053832035
87,87,1406589.6524850545,15144115,0,0.0,0.0,0,0,1.634015144477041
88,88,1526082.7324434954,15144115,0,0.0,0.0,0,0,1.6477559509855182
89,89,1610674.8984651302,15144115,0,0.0,0.0,0,0,1.6613977568948926
90,90,1494494.5354961855,10063789,1,0.0,0.0,0,0,1.6679415039367695
91,91,1488728.18957317,10063789,0,0.0,0.0,0,0,1.6743874688775595
92,92,1399322.0122311986,10063789,0,0.0,0.0,0,0,1.6807380827711513
93,93,1504949.3699101696,10063789,0,0.0,0.0,0,0,1.6869956926132608
94,94,1540204.53297832,10063789,0,0.0,0.0,0,0,1.6931625650453703
95,95,1226921.5738967815,10063789,0,0.0,0.0,0,0,1.699240889861207
96,96,1052301.329791543,10063789,0,0.0,0.0,0,0,1.7052327833280585
97,97,1490483.5186666537,15144115,0,0.0,0.0,0,0,1.717193145712384
98,98,1407707.5210298232,10063789,1,0.0,0.0,0,0,1.722896193276826
99,99,1158391.4032148735,10063789,0,0.0,0.0,0,0,1.728521583986527
100,100,1246135.6525375594,10063789,0,0.0,0.0,0,0,1.7340710784311586
101,101,1532490.0454358389,10063789,0,0.0,0.0,0,0,1.739546381673602
102,102,1391087.1369466009,10063789,0,0.0,0.0,0,0,1.7449491454816435
103,103,1553351.8608666263,15144115,0,0.0,0.0,0,0,1.7558842373483927
104,104,1386914.7639882513,10063789,1,0.0,0.0,0,0,1.761037542899861
105,105,1554275.5058706033,15144115,0,0.0,0.0,0,0,1.7717450480544341
106,106,1433150.67374964,10063789,1,0.0,0.0,0,0,1.7766617497425654
107,107,1504760.209162278,10063789,0,0.0,0.0,0,0,1.7815180209121653
108,108,1161036.1419020153,10063789,0,0.0,0.0,0,0,1.7863150973718782
109,109,1478835.68335454,15144115,0,0.0,0.0,0,0,1.7964776457817504
110,110,1456034.8844922,15144115,0,0.0,0.0,0,0,1.806594599128529
111,111,1443742.2693292026,15144115,0,0.0,0.0,0,0,1.8166631470922232
112,112,1490206.4887316767,15144115,0,0.0,0.0,0,0,1.8266807720451093
113,113,1699732.733443658,10063789,1,0.0,0.0,0,0,1.830808544388131
114,114,1290515.4765630995,6013501,1,0.0,0.0,0,0,1.8172792049994893
115,115,1381598.8078030355,10063789,0,0.0,0.0,0,0,1.8214545030957419
